state,stars
TN,5.0
NJ,4.875
VT,4.5
XWY,4.5
XGL,4.333333333333333
TX,4.144724556489263
AL,4.083333333333333
VA,4.0
CA,3.9282868525896415
QC,3.844201542680645
NV,3.755840466521956
AZ,3.7554661631502615
BAS,3.75
WI,3.71846476133473
PA,3.716132879691965
XGM,3.7142857142857144
NC,3.671072881439004
OH,3.6708926543123432
CON,3.6666666666666665
DUR,3.6666666666666665
SC,3.5886611508085746
IL,3.582804276509877
AB,3.576802256144682
ON,3.537222373068897
CT,3.4705882352941178
DOW,3.25
NY,3.0636042402826855
GA,3.0
AK,2.857142857142857
NM,2.7142857142857144
NE,2.5833333333333335
UT,2.25
AR,2.0
WA,1.6842105263157894
FL,1.5110192837465564
BC,1.3333333333333333
